Character,Move Name,Alt Names,Guard,Properties,Damage,Meter,On Hit,On Block,Startup,Active,Recovery,Hitstun,Blockstun,Hitstop,On Pushblock,Footer,Thumbnail URL,Footer URL
PARASOUL,6MP,"FMP
F.MP
6.MP",Low,Ignites Tears,500,7.50%,-9,-13,17,3,29,22,18,9,-,,https://wiki.gbl.gg/images/d/d3/SG_par_fmp_hb.png,https://wiki.gbl.gg/images/4/4c/Sg_par_fmp_fd.png
PARASOUL,6HP,"F.HP
FHP
6.HP",Mid,-,1200,10%,±0,-8,21,4,25,28,20,12,-,,https://wiki.gbl.gg/images/5/5d/SG_par_fhp_hb.png,https://wiki.gbl.gg/images/f/fb/Sg_par_fhp_fd.png
PARASOUL,4HK,"B.HK
BHK
AXE KICK",High,-,1050,10%,Ground Bounce,-10,22,3,27,16,19,13,-,"- Cancel into L Egret puts her at -2 on block.
- Cancel into L Shot puts her at +2 on block.",https://wiki.gbl.gg/images/0/03/SG_par_bhk_hb.png,https://wiki.gbl.gg/images/d/dc/Sg_par_bhk_fd.png
PARASOUL,J4LK,"SPIRAL
SPIRAL FLARE
TACO
TACO KICK
J.4LK
4JLK
4 JLK",High,Ignites Tears,150 x3,1.5% x3,+18,+20,10,18,16,23x x3,26 x3,7 x3 (6 x3 on block),-,- Crossup hitbox.,https://wiki.gbl.gg/images/5/58/SG_par_jblk_hb.png,https://wiki.gbl.gg/images/e/e2/SG_par_jblk_fd.png
PARASOUL,J2MK,"J.2MK
JDMK
J.DMK
STOMP",High,"Chains Backwards
Chains Into Self",450,7.50%,+13,+9,7,18,8,21,17,10,-,"- Bounces off the opponent on hit or block.
- Can chain backwards to JMK, JMP, JLK, or JLP.
- Can chain into itself indefinitely.
- Hits instant overhead on everyone in the cast while crouching, and is the fastest overhead in the game (11f total if done perfectly). The only caveat is she needs an assist or tear setup to combo off it.",https://wiki.gbl.gg/images/9/92/SG_par_jdmk_hb.png,https://wiki.gbl.gg/images/6/65/SG_par_jdmk_fd.png
PARASOUL,THROW,MACRO_THROW,Throw,50% Scaling,"0, 900","5%, 10%",KD,-,7,1,28,-,-,-,-,- Cancel into L Egret or H Egret from the backwards version to combo midscreeen. Napalm Toss if Egret is unavailable.,https://wiki.gbl.gg/images/1/1e/SG_par_throw_hb.png,https://wiki.gbl.gg/images/b/bb/SG_par_throw_fd.png
PARASOUL,AIR THROW,MACRO_AIR_THROW,Air Throw,50% Scaling,"0, 400, 550","5%, 8%",KD,-,7,3,27,-,-,-,-,- INSANE vertical reach.,https://wiki.gbl.gg/images/9/96/SG_par_airthrow_hb.png,https://wiki.gbl.gg/images/e/ed/SG_par_airthrow_fd.png
PARASOUL,TAG IN,MACRO_TAG,Mid,"Tag
Projectile (!)",500,10%,KD,-9 (At Best),22,-,67,10,13,10,-,"- Because this tag is a projectile, it will be canceled out if it comes across another projectile.",https://wiki.gbl.gg/images/e/e7/SG_par_tag_hb.png,https://wiki.gbl.gg/images/1/1f/SG_par_tag_fd.png
PARASOUL,SNAPBACK,MACRO_SNAPBACK,Mid,Snapback,0,-100%,-,-17,12 + 3,3,28,14,17,13,-,"- Normal snapback. Breaks armor. Use MM to summon A1, and HH to summon A2.",https://wiki.gbl.gg/images/c/c6/SG_par_snap_hb.png,https://wiki.gbl.gg/images/6/66/SG_par_snap_fd.png
PARASOUL,NAPALM TOSS,"MACRO_214LK
MACRO_214MK
MACRO_214HK
MACRO_214K
TOSS
TEAR TOSS
TEAR TOSS LK
TEAR TOSS MK
TEAR TOSS HK
TEAR TOSS L
TEAR TOSS M
TEAR TOSS H
LK TEAR TOSS
MK TEAR TOSS
HK TEAR TOSS
L TEAR TOSS
M TEAR TOSS
H TEAR TOSS
LK TOSS
MK TOSS
HK TOSS
L TOSS
M TOSS
H TOSS
TOSS L
TOSS M
TOSS H",-,Projectile,-,0.50%,-,-9 (At Best),12,-,21,-,-,-,-,"- See also ""Air Napalm Toss""
- Parasoul sets a tear on the screen. The button strength determines the tear's trajectory. Tapping the button will leave the tear at a predetermined spot along the trajectory. Holding the button will allow you to place the tear on release.
- The ground version will chain into itself for up to 3 tears with additional K inputs.
- Tears ignited manually will produce a larger explosion with more damage. Igniting a tear with jLP is an exception to this, and will produce a regular tear explosion as if it detonated automatically. If the tear was placed in a combo and detonated by jLP in the same combo, this exception is ignored.
- Only tears from Napalm Toss will add undizzy",https://wiki.gbl.gg/images/9/9f/SG_par_qcbk.png,https://wiki.gbl.gg/images/5/50/SG_par_qcbk_fd.png
PARASOUL,AIR NAPALM TOSS,"MACRO_J214LK
MACRO_J214MK
MACRO_J214HK
MACRO_J214K
AIR TOSS
LK AIR TOSS
MK AIR TOSS
HK AIR TOSS
LK AIR NAPALM TOSS
MK AIR NAPALM TOSS
HK AIR NAPALM TOSS
L AIR TOSS
M AIR TOSS
H AIR TOSS
JL TOSS
JM TOSS
JH TOSS",-,"Projectile
Chains Backwards
Normal Cancellable",-,0.50%,-,-9 (At Best),12,-,21,-,-,-,-,"- Parasoul sets a tear on the screen. The button strength determines the tear's trajectory. Tapping the button will leave the tear at a predetermined spot along the trajectory. Holding the button will allow you to place the tear on release.
- The air version's recovery can be canceled into normals.
- Tears ignited manually will produce a larger explosion with more damage. Igniting a tear with jLP is an exception to this, and will produce a regular tear explosion as if it detonated automatically. If the tear was placed in a combo and detonated by jLP in the same combo, this exception is ignored.
- Manually setting a tear during the first 10f of a jump (such as from a tiger knee input) will create a smaller tear, which grows to full size after 30f. If manually detonated from Parasoul's attacks, the explosion is similar to one as if it detonated automatically. It behaves like normal if ignited by other tears.
- Only tears from Napalm Toss will add undizzy",https://wiki.gbl.gg/images/9/9f/SG_par_qcbk.png,https://wiki.gbl.gg/images/d/da/SG_par_jqcbk_fd.png
PARASOUL,TEAR,"TIER
TEAR AUTO",Mid,"Ignites Tears
Projectile",400 (100),4%,-,-,"10 
(6 for small tears)",5,-,25,17,7,-,"- This is the frame data for the BASIC tear explosion, when the timer expires. 
- Type ""TEAR IGNITE"" for when tears are exploded via normals, or Napalm Trigger.
- See top hitbox.",https://wiki.gbl.gg/images/3/3f/SG_par_qcbk_hb.png,https://i.imgur.com/ZLPdy84.png
PARASOUL,TEAR IGNITE,"TEAR DETONATE
TEAR DET
TEAR EXPLODE
TEAR EXPLOSION
TEAR MANUAL DETONATE
TEAR MANUAL",Mid,"Ignites Tears
Projectile",600 (200),6%,-,-,10,5,-,"39 Air
40 Ground",16,8,-,"- This is the frame data for the MANUAL tear explosion, via Napalm Trigger or igniting normal.
- See ""TEAR"" for the standard explosion that happens when tear's lifetime expires.
- See bottom hitbox.",https://wiki.gbl.gg/images/3/3f/SG_par_qcbk_hb.png,https://i.imgur.com/ZLPdy84.png
PARASOUL,L NAPALM SHOT,"L SHOT
LSHOT
SHOT L
SHOT
NAPALM SHOT
CHARGE LP
MACRO_46LP
LP TEARSHOT
LP TEAR SHOT",Mid,"Projectile
Ignites Tears",375 (100),(2.5%) 2.25%,+11,+2,"15, 1",-,24,24,17,10 (8 on block),-,"- Parasoul has a 4F normal buffer after this move ends, making 5MP an easy link instead of 1F.
- The projectile will ignite other tears if it touches them.
- Napalm Shot can't be done if you still have another traveling Napalm Shot on the screen. Once it touches something, you can do Napalm Shot again.",https://wiki.gbl.gg/images/8/81/SG_par_bfp_hb.png,https://wiki.gbl.gg/images/a/ad/SG_par_bflp_fd.png
PARASOUL,M NAPALM SHOT,"M SHOT
MSHOT
SHOT M
CHARGE MP
MACRO_46MP
MP TEARSHOT
MP TEAR SHOT",Mid,"Projectile
Ignites Tears",375 (100),(2.5%) 2.25%,+7,-2,"16, 1",-,28,24,17,10 (8 on block),-,"- The projectile will ignite other tears if it touches them. 
- Napalm Shot can't be done if you still have another traveling Napalm Shot on the screen. Once it touches something, you can do Napalm Shot again.",https://wiki.gbl.gg/images/8/81/SG_par_bfp_hb.png,https://wiki.gbl.gg/images/c/cf/SG_par_bfmp_fd.png
PARASOUL,H NAPALM SHOT,"H SHOT
HSHOT
SHOT H
CHARGE HP
MACRO_46HP
HP TEARSHOT
HP TEAR SHOT",Mid,"Projectile
Ignites Tears",400 (100),(2.5%) 2.3%,+4,-7,"17, 1",-,33,26,17,10 (8 on block),-,"- The projectile will ignite other tears if it touches them. 
- Napalm Shot can't be done if you still have another traveling Napalm Shot on the screen. Once it touches something, you can do Napalm Shot again.",https://wiki.gbl.gg/images/8/81/SG_par_bfp_hb.png,https://wiki.gbl.gg/images/2/23/SG_par_bfhp_fd.png
PARASOUL,NAPALM TRIGGER,"[2]8LK
28LK
[2],8LK
2,8LK
[2]8+LK
28+LK
[2],8+LK
2,8+LK
[D]ULK
DULK
[D],ULK
D,ULK
[D]U+LK
DU+LK
[D],U+LK
D,U+LK
TRIGGER
DETONATE
CHARGE LK
L PILLAR
PILLAR L
L NAPALM PILLAR
NAPALM PILLAR L",-,-,-,-,2.50%,-,2,-,39,-,-,-,-,- Ignites all tears on the screen.,https://wiki.gbl.gg/images/a/a7/SG_par_dulk.png,https://i.imgur.com/ZLPdy84.png
PARASOUL,NAPALM QUAKE,"[2]8MK
28MK
[2],8MK
2,8MK
[2]8+MK
28+MK
[2],8+MK
2,8+MK
[D]UMK
DUMK
[D],UMK
D,UMK
[D]U+MK
DU+MK
[D],U+MK
D,U+MK
QUAKE
CHARGE MK
M PILLAR
PILLAR M
M NAPALM PILLAR
NAPALM PILLAR M",Low,Ignites Tears,950 (100),(2.5%) 7.5%,±0,-11,15,4,29,32,21,10,-,"- Can only combo after with super cancel, tear setup, or assist",https://wiki.gbl.gg/images/0/07/SG_par_dumk_hb.png,https://wiki.gbl.gg/images/9/90/SG_par_dumk_fd.png
PARASOUL,NAPALM PILLAR,"[2]8HK
28HK
[2],8HK
2,8HK
[2]8+HK
28+HK
[2],8+HK
2,8+HK
[D]UHK
DUHK
[D],UHK
D,UHK
[D]U+HK
DU+HK
[D],U+HK
D,U+HK
FLASH KICK
FLASHKICK
DP
PILLAR
CHARGE HK
H PILLAR
PILLAR H
H NAPALM PILLAR
NAPALM PILLAR H",Mid,"Ignites Tears
Invuln. (Full)",1000 (100),(2.5%) 10%,KD,-31,17,5,46,26,19,11,-,"- Parasoul's meterless invulnerable reversal. Its main weakness is a giant deadzone in the hitbox behind Parasoul, which allows for many characters to forward jump over it, even in the corner.
- Combo: [2]8HK > 236KK > dash > OTG 5LK. With a DHC, it may be better to use sniper instead.
- The only invulnerable reversal in the game with a flash kick input",https://wiki.gbl.gg/images/5/52/SG_par_duhk_hb.png,https://wiki.gbl.gg/images/f/fa/SG_par_duhk_fd.png
PARASOUL,EGRET CALL,"MACRO_46LK
L EGRET
EGRET L
CALL",-,-,-,2.50%,-,-,-,-,21,-,-,-,-,"- Doesn't have a hitbox or have any effect, but has a low number of total frames. Use this as a special cancel from normals to reduce their overall recovery.
- This soldier remains on screen longer than MK and HK soldiers.
- Only one soldier from Egret Call, Dive, or Charge can be on the screen at once.",https://wiki.gbl.gg/images/6/6b/SG_par_bflk.png,https://wiki.gbl.gg/images/9/91/SG_par_bflk_fd.png
PARASOUL,EGRET DIVE,"MACRO_46MK
M EGRET
EGRET M
DIVE
SACRIFICE",-,-,-,2.50%,-,-,6,-,43,-,-,-,-,"- The soldier can absorb an unlimited number of projectile hits and one non-projectile hit. If hit with a non-projectile, the dive ends.
Parasoul also gets meter for any projectile absorbed: 7% for the first projectile and .3% for subsequent projectiles.
- As long as Parasoul is behind the solider, she cannot get hit by projectiles that make contact with the soldier, including beams.
- Can absorb multiple projectiles on the same frame, but meter is only gained from one projectile per frame.
- Any hit after the first adds 3f of hit stop to attacks hitting the Egret.
- Only one soldier from Egret Call, Dive, or Charge can be on the screen at once.",https://wiki.gbl.gg/images/5/52/SG_par_bfmk_hb.png,https://wiki.gbl.gg/images/f/f0/SG_par_bfmk_fd.png
PARASOUL,EGRET CHARGE,"BIKE
MACRO_46HK
EGRET H
H EGRET
CHARGE",Mid,Hit Grab,-,"200, 300 (100)",(2.5%) 4.17%,Wall Bounce,-,8,-,41,16,11 on block,-,"- Hit grab. Breaks armor on hit.
- Moves through projectiles unscathed. Must be hit with a physical hit to be destroyed.
- Hitbox only appears if Parasoul isn't hit during the first 24 frames of summon.
- Only one soldier from Egret Call, Dive, or Charge can be on the screen at once.",https://wiki.gbl.gg/images/9/91/SG_par_bfhk_hb.png,https://wiki.gbl.gg/images/2/2b/SG_par_bfhk_fd.png
PARASOUL,SILENT SCOPE,"SCOPE
SNIPER
MACRO_236PP",Mid,Projectile,1750 (200),-100%,Crumple,-20,"19 + 0, 10",1,"97 OR 67 (hit, block and whiff) OR 117 (air hit)",19,23,25 (23 on block),-,"- Tracks the opponent.
- If the opponent is invulnerable, then it will wait for up to 60 frames until they are vulnerable again to fire
- Will fire against assist characters early even if the point is invulnerable. Invincible reversal + assist call is a good way to avoid it.
- Crumples vs air too.
- Extra recovery if hitting the opponent in the air, which prevents a combo in many situations (such as [2]8HK > 236PP).
- 2 frames less startup after the flash if used as a DHC",https://wiki.gbl.gg/images/6/6d/SG_par_qcfpp_hb.png,https://wiki.gbl.gg/images/d/da/SG_par_qcfpp_fd.png
PARASOUL,MOTOR BRIGADE,"MACRO_236KK
BIKES",Mid,"Projectile
Invuln. (Full)
45% Min Scaling",380 x6 (100 x6),-100%,KD,+11,"3 + 0, 1","-, (6) -, (6) -,(6) -, (6) -, (6) -",53,24,24,9,-,"- Summons six soldiers from the screen behind her. Bikes will hit faster the closer the opponent is the corner behind Parasoul.
- Explodes when hit by a projectile. Can be reflected by Cerebella.
- Soldiers are spawned one at a time, and if Parasoul is interrupted, less than 6 soldiers will appear.",https://wiki.gbl.gg/images/2/26/SG_par_qcfkk_hb.png,https://wiki.gbl.gg/images/c/c7/SG_par_qcfkk_fd.png
PARASOUL,INFERNO BRIGADE,"MACRO_214PP
INFERNO",Mid,"Projectile
Invuln. (Full)
45% Min Scaling
Ignites Tears",120 x69 (20 x69),-300%,KD,-28,5 + 10,-,49,18 x69,13 x69,7 x69,-,"- Parasoul can cancel this super with Egret Call to interrupt her animation while the Egrets continue to fire, allowing her to dash up and continue to combo on hit or pressure on block. Just be aware that this will cut the invulnerable frames short.
- Opponent can input an action after the flash, because there's not enough super hitstop to cover post flash startup
- When used to DHC **from**, the soldiers will continue to fire even after the next character comes in.",https://wiki.gbl.gg/images/c/ca/SG_par_qcbpp_hb.png,https://wiki.gbl.gg/images/2/2f/SG_par_qcbpp_fd.png
PARASOUL,TAUNT,"LP,HP,4,LK,HK
YAWN",-,-,-,-,-,-,-,-,94,-,-,-,-,"- Taunting the opponent with a yawn will guarantee the next Egret Call solider will say ""Excuse me, princess!""
- Resulting from a ""bug turned feature"", Parasoul's taunt will make Robo-Fortune explode early during her level 3 when called as an assist.
- Press ""START"" to select as an assist.",https://wiki.gbl.gg/images/a/a3/SG_par_taunt.png,https://i.imgur.com/ZLPdy84.png
PARASOUL,ASSIST RECOVERY,"ASSIST TAUNT
ASSIST LEAVE
ASSIST",-,-,-,-,-,-,-,-,57,-,-,-,-,"- Amount of time it takes for the character to turn invulnerable after they finish performing their assist action.
- Longer recovery → more time to punish the assist.",https://wiki.gbl.gg/images/9/9b/SG_par_color1.png,https://i.imgur.com/ZLPdy84.png
PEACOCK,5LP,MACRO_5LP,Mid,Chains Into Self,300,2.50%,4,3,6,2,14,19,18,7,-,,https://wiki.gbl.gg/images/8/8b/SG_pea_slp_hb.png,https://wiki.gbl.gg/images/6/61/SG_pea_slp_fd.png
PEACOCK,5MP,MACRO_5MP,Mid,-,525,7.50%,-10,-12,15,3,29 (30 on miss),22,20,9,-,,https://wiki.gbl.gg/images/7/76/SG_pea_smp_hb.png,https://wiki.gbl.gg/images/3/32/SG_pea_smp_fd.png
PEACOCK,5HP,MACRO_5HP,Mid,Projectile (2nd hit),"600, 500","5%, 5%",6,-2,15,"2, (10 / 17 on hit), -",26,"33, 17","21, 15","11, 14 (8 on block)",-,- Shoots a cannon ball. Can be Special and Super cancelled at any time.,https://wiki.gbl.gg/images/2/21/SG_pea_shp_hb.png,https://wiki.gbl.gg/images/4/47/SG_pea_shp_fd.png
PEACOCK,5LK,MACRO_5LK,Mid,-,400,2.50%,6,4,9,2,13,20,18,8,-,,https://wiki.gbl.gg/images/9/9e/SG_pea_slk_hb.png,https://wiki.gbl.gg/images/f/fd/SG_pea_slk_fd.png
PEACOCK,5MK,MACRO_5MK,Mid,Launcher,600,7.50%,4,-10,16,3,25,31,17,11,-,"- Launcher, but it's a MK.",https://wiki.gbl.gg/images/9/9a/SG_pea_smk_hb.png,https://wiki.gbl.gg/images/4/41/SG_pea_smk_fd.png
PEACOCK,5HK,MACRO_5HK,Mid,-,775,10%,KD,-14,19,3,33,25,21,12,-,,https://wiki.gbl.gg/images/1/17/SG_pea_shk_hb.png,https://wiki.gbl.gg/images/2/20/SG_pea_shk_fd.png
PEACOCK,2LP,MACRO_2LP,Mid,Chains Into Self,300,2.50%,7,4,6,3,13,22,19,7,-,,https://wiki.gbl.gg/images/4/49/SG_pea_clp_hb.png,https://wiki.gbl.gg/images/d/d9/SG_pea_clp1_fd.png
PEACOCK,2LP X2,"2.LP X2
C.LP X2
CLP X2
2LP 2ND
2.LP 2ND
C.LP 2ND
CLP 2ND",Mid,-,300,2.50%,5,5,14,3,12,19,19,7,-,,https://wiki.gbl.gg/images/4/49/SG_pea_clp_hb.png,https://wiki.gbl.gg/images/c/ca/SG_pea_clp2_fd.png
PEACOCK,2MP,MACRO_2MP,Mid,-,500,7.50%,4,±0,12,3,15,21,17,9,-,- Drags mid air opponents back down towards her to stabilize combos and confirms.,https://wiki.gbl.gg/images/2/2b/SG_pea_cmp_hb.png,https://wiki.gbl.gg/images/a/a3/SG_pea_cmp_fd.png
PEACOCK,2HP,MACRO_2HP,Low,-,650,10%,-7,-15,16,3,30,25,17,10,-,"- It's a low, and it hits hard. Can cancel into 5HK as a special magic series.",https://wiki.gbl.gg/images/b/ba/SG_pea_chp_hb.png,https://wiki.gbl.gg/images/6/6a/SG_pea_chp_fd.png
PEACOCK,2LK,MACRO_2LK,Mid,-,350,2.50%,1,4,7,5,13,18,21,7,-,- Amazing AA.,https://wiki.gbl.gg/images/4/42/SG_pea_clk_hb.png,https://wiki.gbl.gg/images/c/cc/SG_pea_clk_fd.png
PEACOCK,2MK,MACRO_2MK,Low,-,525,7.50%,"+1
 KD (vs. air)",-1,15,3,21,19,17,9,-,,https://wiki.gbl.gg/images/2/23/SG_pea_cmk_hb.png,https://wiki.gbl.gg/images/a/a6/SG_pea_cmk_fd.png
PEACOCK,2HK,"MACRO_2HK
SWEEP
SLIDE
BANJO
GUITAR
UKELELE",Low,Sweep,1100,10%,Soft KD (Invuln.),-33,17,28,24,15,18,10,-,,https://wiki.gbl.gg/images/7/79/SG_pea_chk_hb.png,https://wiki.gbl.gg/images/4/4d/SG_pea_chk_fd.png
PEACOCK,JLP,MACRO_JLP,High (rising mid),-,300,2.50%,-3,±0,8,2,19,17,20,7,-,- Fastest IAD normal.,https://wiki.gbl.gg/images/7/74/SG_pea_jlp_hb.png,https://wiki.gbl.gg/images/3/3b/SG_pea_jlp_fd.png
PEACOCK,JMP,MACRO_JMP,High,-,525,7.50%,1,-6,11,"2, (2), 3",21,28,21,10,-,- Surprisingly disjointed and amazing air to air normal.,https://wiki.gbl.gg/images/4/43/SG_pea_jmp_hb.png,https://wiki.gbl.gg/images/2/25/SG_pea_jmp_fd.png
PEACOCK,JHP,MACRO_JHP,High,-,950,7.50%,±0,-7,14,2,27,28,21,10,-,"- The shotgun shoot blasts her backwards, which is useful as a pseudo air back dash.",https://wiki.gbl.gg/images/1/16/SG_pea_jhp_hb.png,https://wiki.gbl.gg/images/5/53/SG_pea_jhp_fd.png
PEACOCK,JLK,MACRO_JLK,High,-,190 x3,2% x3,-8,-1,10,"8 [1, 1, 1...]",22,19 x3,22 x3,8 x3 (7 x3 on block),-,,https://wiki.gbl.gg/images/1/1b/SG_pea_jlk_hb.png,https://wiki.gbl.gg/images/2/27/SG_pea_jlk_fd.png
PEACOCK,JMK,MACRO_JMK,Mid,Projectile,500,7.50%,-6,-8,23,3,32,19,17,9,-,"- Spawns a bear trap ahead and below Peacock, which is a standard projectile.",https://wiki.gbl.gg/images/1/17/SG_pea_jmk_hb.png,https://wiki.gbl.gg/images/3/37/SG_pea_jmk_fd.png
PEACOCK,JHK,MACRO_JHK,High,-,600,7.50%,-14,-1,13,2,35,22,25,11,-,"- See ""JHK PROJECTILE"" or ""JHK AVERY"" for Avery (the bird she spawns) hitbox and frame data.",https://wiki.gbl.gg/images/2/2e/SG_pea_jhk_hb.png,https://wiki.gbl.gg/images/2/2c/SG_pea_jhk_fd.png
PEACOCK,JHK PROJECTILE,"J.HK AVERY
JHK AVERY
J.HK PROJECTILE
AVERY",Mid,Projectile,250 x2,2.25% x2,-,-,6,"6, 6...",-,19 x2,17 x2,5 x2,-,"- Avery has two hits before vanishing.
- Avery will vanish early if another attack is used which has Avery in the animation: 5HK, 2HP, 2LK, 2HK, j.HK, Argus Agony, and Taunt",https://wiki.gbl.gg/images/2/2e/SG_pea_jhk_hb.png,-
PEACOCK,THROW,MACRO_THROW,Throw,50% Damage Scaling,"150 x5, 400","2% x5, 5%",Sliding KD,-,7,1,28,-,-,-,-,- Hard knockdown throw that can lead to left right mix up.,https://wiki.gbl.gg/images/d/d3/SG_pea_throw_hb.png,https://wiki.gbl.gg/images/3/35/SG_pea_throw_fd.png
PEACOCK,AIR THROW,MACRO_AIR_THROW,Air Throw,50% Damage Scaling,200 x5,1.43% x5,KD,-,7,3,18,-,-,-,-,,https://wiki.gbl.gg/images/8/81/SG_pea_airthrow_hb.png,https://wiki.gbl.gg/images/8/86/SG_pea_airthrow_fd.png
PEACOCK,TAG IN,MACRO_TAG,Mid,Tag,500,7.50%,KD,-35,42,6,43,10,13,20 (12 on block),-,,https://wiki.gbl.gg/images/9/99/SG_pea_tag_hb.png,https://wiki.gbl.gg/images/9/95/SG_pea_tag_fd.png
PEACOCK,SNAPBACK,MACRO_SNAPBACK,Mid,Snapback,0,-100%,-,-10,12 + 3,3,25,14,17,(9) 13,-,,https://wiki.gbl.gg/images/3/39/SG_pea_snap_hb.png,https://wiki.gbl.gg/images/0/02/SG_pea_snap_fd.png
PEACOCK,L BANG,"MACRO_236LP
BANG L
LBANG",Mid,Invuln. (Throw),700 (150),(2.5%) 11.25%,"Stagger (+26 / +41 CH),
 Soft KD (Invuln.) (vs air)",-17,16,3,36,26,21,9,-,"- Staggers the opponent if they are grounded only, once per combo.
- Throw invincible, so it can be used to call out comand grabs.",https://wiki.gbl.gg/images/a/a7/SG_pea_qcflp_hb.png,https://wiki.gbl.gg/images/3/37/SG_pea_qcflp_fd.png
PEACOCK,M BANG,"MACRO_236MP
BANG M
PUNCH MOVE
MBANG
DP",Mid,Invuln. (Strike),700 (150),(2.5%) 11.25%,Wall Bounce,-16,20,4,26,12,13,11,-,"- Strike invulnerable reversal, so it can be thrown.
- Cancelling into Lenny after makes it -10 on block.
- Wall bounces if she's close to the corner, giving her a combo.",https://wiki.gbl.gg/images/2/22/SG_pea_qcfmp_hb.png,https://wiki.gbl.gg/images/8/8c/SG_pea_qcfmp_fd.png
PEACOCK,H BANG X1,"MACRO_236HP
BANG H
BANG BANG BANG
BANG
BANG!
HBANG
H BANG",Mid,Projectile,350 (133),(2.5%) 3.6%,-3,-9,18,-,33,18,15,11 (8 on block),-,"- See ""H Bang x2"" and ""H Bang x3""
- Shoots up to 3 bullets from her gun with additonal HP presses. Bullets may look different but have the same properties.",https://wiki.gbl.gg/images/d/df/SG_pea_qcfhp_hb.png,https://wiki.gbl.gg/images/5/56/SG_pea_qcfhp1_fd.png
PEACOCK,H BANG X2,"236HP X2
236 HP X2
236+HP X2
QCFHP X2
QCF HP X2
QCF+HP X2
BANG BANG BANG X2
BANG H X2
HBANG X2",Mid,Projectile,350 (133),(1.6667%) 3.6%,-8,-14,6,-,38,18,15,11 (8 on block),-,"- See ""H Bang"" and ""H Bang x3""",https://wiki.gbl.gg/images/d/df/SG_pea_qcfhp_hb.png,https://wiki.gbl.gg/images/8/8a/SG_pea_qcfhp2_fd.png
PEACOCK,H BANG X3,"236HP X3
236 HP X3
236+HP X3
QCFHP X3
QCF HP X3
QCF+HP X3
BANG BANG BANG X3
BANG H X3
HBANG X3",Mid,Projectile,350 (133),(1.6667%) 3.6%,-13,-19,6,-,43,18,15,11 (8 on block),-,"- See ""H Bang"" and ""H Bang x2""",https://wiki.gbl.gg/images/d/df/SG_pea_qcfhp_hb.png,https://wiki.gbl.gg/images/6/66/SG_pea_qcfhp3_fd.png
PEACOCK,L GEORGE,"MACRO_236LK
GDO
GEORGE L
BOMB L
L BOMB",Mid,Projectile,550 (200),(2.5%) 4.5%,12,-1,11,-,25,27,13,9,-,"- Georges do NOT vanish if Peacock is hit, so they may save her from combos.
- Only two Georges (236K) can be on screen at once. Attempting to throw another will do nothing if two are active.
- Can cancel into a second, different George summon even on whiff.
- Can cancel into L Teleport (214LK) even on whiff.
- When the opponent is in hitstun, George has a long, backwards-hitting hitbox and is thrown in a slightly longer trajectory.",https://wiki.gbl.gg/images/e/e7/SG_pea_qcflk_hb.png,https://wiki.gbl.gg/images/8/8c/SG_pea_qcflk_fd.png
PEACOCK,M GEORGE,"MACRO_236MK
BOXCAR
CAR
GEORGE M
M BOMB
BOMB M",Mid,Projectile,650 (250),(2.5%) 4.5%,-,-,15,-,24,23,17,9,-,"- Georges do NOT vanish if Peacock is hit, so they may save her from combos.
- Only two Georges (236K) can be on screen at once. Attempting to throw another will do nothing if two are active.
- Can cancel into a second, different George summon even on whiff.
- Can cancel into L Teleport (214LK) even on whiff.",https://wiki.gbl.gg/images/f/f0/SG_pea_qcfmk_hb.png,https://wiki.gbl.gg/images/0/01/SG_pea_qcfmk_fd.png
PEACOCK,H GEORGE,"MACRO_236HK
AIRSHOW
PLANE
BOMB H
H BOMB
GEORGE H
AIR GEORGE",Mid,Projectile,550 (250),(2.5%) 4.5%,-,-,15,-,21,23,17,9,-,"- H George determines trajectory as soon as he appears and attempts to home in on that location, even if the opponent moves after.
- Georges do NOT vanish if Peacock is hit, so they may save her from combos.
- Only two Georges (236K) can be on screen at once. Attempting to throw another will do nothing if two are active.
- Can cancel into a second, different George summon even on whiff.
- Can cancel into L Teleport (214LK) even on whiff.",https://wiki.gbl.gg/images/f/fd/SG_pea_qcfhk_hb.png,https://wiki.gbl.gg/images/6/68/SG_pea_qcfhk_fd.png
PEACOCK,ITEM DROP,"MACRO_214P
MACRO_214LP
MACRO_214MP
MACRO_214HP
SOID
IMPENDING DOOM
ITEM
SHADOW
L SOID
M SOID
H SOID
L SHADOW
M SHADOW
H SHADOW
L ITEM
M ITEM
H ITEM
SHADOW OF IMPENDING DOOM",-,-,-,2.50%,-,-,14,-,16,-,N/A,N/A,-,"- See ""ITEM LEVEL 1"", ""ITEM LEVEL 2"", ""ITEM LEVEL 3"", ""ROAD ROLLER"", and ""TENRAIHA"" for her available items.
- Blows a whistle which causes a shadow to appear on the ground if P is held. Releasing P drops an item where the shadow is.
- Shadow size grows over time with an (!) marking when it levels up, from level 1 > 2 > 3.
- Can't be used until the previous item has fully left the screen.
- If an item is released during blockstun, the item will wait a little bit longer before falling.

- LP: Shadow is a set distance away from Peacock and does not move.
- MP: Shadow will track the opponent if they are close-ish to Peacock.
- HP: Shadow will track the opponent if they are far from Peacock.",https://wiki.gbl.gg/images/b/bc/SG_pea_qcbp.png,https://wiki.gbl.gg/images/3/3d/SG_pea_qcbp_fd.png
